f.name,id,,f.size,AnimalID,LabID,Location,Broad,Use for vcf,Sex,Haplotype,cov.mean,X
z0098735_Pcra_RunH119L8nuc_n0002359.fastq.gz.bam,z0098735,0,"68,122,815.00",98735,98735,HIBigI,MHI,,M,1,158.9169717,
z0091284_Pcra_RunH119L8nuc_n0002397.fastq.gz.bam,z0091284,0,"57,564,256.00",91284,91284,HIBigI,MHI,,M,1,190.8477306,
z0098738_Pcra_RunH119L8nuc_n0002358.fastq.gz.bam,z0098738,,"48,553,349.00",98738,98738,HIBigI,MHI,,M,2,174.9502196,
z0098745_Pcra_RunH106L6_n0002021.fastq.gz.bam,z0098745,,"39,729,993.00",98745,98745,HIBigI,MHI,,M,2,113.4526598,
z0098734_Pcra_RunH119L8nuc_n0002352.fastq.gz.bam,z0098734,,"33,389,043.00",98734,98734,HIBigI,MHI,,M,1,150.1052953,
z0098745_Pcra_RunH119L8nuc_n0002360.fastq.gz.bam,z0098745,,"28,661,995.00",98745,98745,HIBigI,MHI,,M,2,113.4526598,
z0108133_Pcra_RunH119L8nuc_n0002381.fastq.gz.bam,z0108133,,"25,955,487.00",108133,108133,HIK,MHI,,M,1,NA,
z0132635_Pcra_RunH106L6_n0002033.fastq.gz.bam,z0132635,,"25,558,962.00",132635,132635,HIBigI,MHI,,F,1,188.4345412,
z0033898_Pcra_RunH106L6_n0001980.fastq.gz.bam,z0033898,,"23,943,721.00",33898,33898,HIO,MHI,,M,1,133.080039,
z0132631_Pcra_RunH106L6_n0002032.fastq.gz.bam,z0132631,,"23,361,625.00",132631,132631,HIBigI,MHI,,F,1,32.84901171,
z0132636_Pcra_RunH106L6_n0002034.fastq.gz.bam,z0132636,,"17,894,308.00",132636,132636,HIBigI,MHI,,M,2,190.6066374,
z0033885_Pcra_RunH106L6_n0001979.fastq.gz.bam,z0033885,,"16,296,363.00",33885,33885,HIO,MHI,,F,1,161.8835408,
z0033899_Pcra_RunH106L6_n0002048.fastq.gz.bam,z0033899,,"14,339,703.00",33899,33899,HIO,MHI,,F,1,173.9350903,
